Package;Class;Case;Execution;Result;TotalTime;NumInteractions;NumFallbacks
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;9;pass;7402;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;10;pass;7414;5;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;1;pass;7485;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;2;pass;6177;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;3;pass;6176;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;4;pass;6214;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;5;pass;6159;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;6;pass;6237;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;7;pass;6130;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;8;pass;6155;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;9;pass;6181;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;10;pass;6164;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;1;pass;8894;4;1
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;2;pass;5440;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;3;pass;5411;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;4;pass;5382;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;5;pass;5392;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;6;pass;5427;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;7;pass;5403;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;8;pass;5460;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;9;pass;5490;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;10;pass;5486;4;0
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;1;pass;8617;5;0
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;2;pass;7518;5;0
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;3;pass;7310;5;0
