package;test_class;test_case;suite;device;result
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;original;nexus_5;fail
com.fsck.k9.debug;MessageOperationsTest;testForward;original;nexus_5;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;original;nexus_5;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;original;nexus_5;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;original;nexus_5;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;original;nexus_5;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;original;nexus_5;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;original;nexus_5;fail
com.fsck.k9.debug;SendMessagesTest;testSendMessage;original;nexus_5;fail
com.fsck.k9.debug;SendMessagesTest;testSentMessage;original;nexus_5;fail
com.fsck.k9.debug;SendMessagesTest;testDraftDelete;original;nexus_5;fail
com.fsck.k9.debug;SendMessagesTest;testDraftSend;original;nexus_5;fail
com.fsck.k9.debug;SendMessagesTest;testSendMessage;original;nexus_5;fail
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;original;nexus_6;fail
com.fsck.k9.debug;VariousMenuTest;testSettings;original;nexus_6;fail
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;original;nexus_6;fail
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;original;nexus_6;fail
com.fsck.k9.debug;VariousMenuTest;testAbout;original;nexus_6;fail
com.fsck.k9.debug;MessageSortTest;testSortBySubject;original;nexus_6;fail
com.fsck.k9.debug;MessageSortTest;testSortBySender;original;nexus_6;fail
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;original;nexus_6;fail
com.fsck.k9.debug;MessageSortTest;testSortByArrival;original;nexus_6;fail
com.fsck.k9.debug;MessageSortTest;testSortByDate;original;nexus_6;fail
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;original;nexus_6;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;original;nexus_6;pass
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;original;nexus_6;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;original;nexus_6;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;original;nexus_6;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;original;nexus_6;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;original;nexus_6;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;original;nexus_6;fail
com.fsck.k9.debug;SendMessagesTest;testSendMessage;original;nexus_6;fail
com.fsck.k9.debug;SendMessagesTest;testDiscard;original;nexus_6;fail
com.fsck.k9.debug;SendMessagesTest;testSentMessage;original;nexus_6;fail
com.fsck.k9.debug;SendMessagesTest;testDraftSend;original;nexus_6;fail
