Package;Class;Case;Execution;Result;TotalTime;NumInteractions
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;2;pass;8451;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;3;pass;8515;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;4;pass;7822;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;5;pass;8365;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;6;pass;7911;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;7;pass;7912;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;8;pass;7855;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;9;pass;8358;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;10;pass;7839;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;1;pass;9893;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;2;pass;9258;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;3;pass;9412;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;4;pass;9223;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;5;pass;9171;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;6;pass;9165;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;7;pass;9190;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;8;pass;9404;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;9;pass;9139;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;10;pass;9152;6
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;1;pass;16440;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;2;pass;15658;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;3;pass;15538;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;4;pass;15647;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;5;pass;15730;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;6;pass;15741;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;7;pass;15647;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;8;pass;15671;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;9;pass;15602;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;10;pass;15641;8
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;1;pass;12877;7
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;2;pass;12042;7
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;3;pass;12007;7
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;4;pass;12138;7
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;5;pass;12144;7
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;6;pass;12130;7
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;7;pass;12324;7
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;8;pass;12098;7
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;9;pass;12073;7
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;10;pass;12055;7
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;1;pass;14258;8
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;2;pass;13393;8
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;3;pass;13385;8
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;4;pass;13428;8
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;5;pass;13397;8
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;6;pass;13391;8
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;7;pass;13375;8
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;8;pass;13439;8
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;9;pass;13605;8
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;10;pass;13482;8
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;1;pass;17913;10
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;2;pass;17079;10
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;3;pass;16804;10
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;4;pass;16764;10
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;5;pass;16797;10
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;6;pass;16882;10
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;7;pass;16821;10
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;8;pass;16806;10
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;9;pass;16884;10
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;10;pass;16865;10
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;1;fail;21278;6
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;2;fail;20030;6
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;3;fail;20209;6
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;4;fail;20082;6
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;5;fail;20164;6
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;6;fail;20175;6
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;7;fail;20275;6
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;8;fail;20239;6
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;9;fail;20228;6
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;10;fail;20241;6
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;1;pass;19670;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;2;pass;18573;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;3;pass;18529;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;4;pass;18534;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;5;pass;18574;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;6;pass;18480;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;7;pass;18582;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;8;pass;18534;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;9;pass;18503;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;10;pass;18529;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;1;pass;18520;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;2;pass;18550;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;3;pass;18531;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;4;pass;18539;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;5;pass;18572;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;6;pass;18532;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;7;pass;18534;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;8;pass;18603;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;9;pass;18520;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;10;pass;18602;9
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;1;fail;20841;6
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;2;fail;19352;6
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;3;fail;19708;6
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;4;fail;19364;6
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;5;fail;19648;6
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;6;fail;19355;6
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;7;fail;19551;6
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;8;fail;19371;6
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;9;fail;19595;6
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;10;fail;19296;6
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;1;pass;20035;10
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;2;pass;19375;10
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;3;pass;19419;10
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;4;pass;19287;10
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;5;pass;19404;10
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;6;pass;19336;10
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;7;pass;19323;10
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;8;pass;19295;10
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;9;pass;19380;10
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;10;pass;19309;10
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;1;fail;15784;5
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;2;fail;15760;5
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;3;fail;15819;5
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;4;fail;15787;5
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;5;fail;15745;5
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;6;fail;15723;5
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;7;fail;15729;5
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;8;fail;15699;5
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;9;fail;15736;5
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;10;fail;16295;5
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;1;pass;19828;10
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;2;pass;19824;10
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;3;pass;19917;10
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;4;pass;19814;10
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;5;pass;19879;10
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;6;pass;19902;10
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;7;pass;19832;10
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;8;pass;19752;10
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;9;pass;19778;10
