Package;Class;Case;Execution;Result;TotalTime;NumInteractions
org.ligi.passandroid;TestPassCreation;testDeletePass;2;pass;20315;8
org.ligi.passandroid;TestPassCreation;testDeletePass;3;pass;20776;8
org.ligi.passandroid;TestPassCreation;testDeletePass;4;pass;20605;8
org.ligi.passandroid;TestPassCreation;testDeletePass;5;pass;20550;8
org.ligi.passandroid;TestPassCreation;testDeletePass;6;pass;21821;8
org.ligi.passandroid;TestPassCreation;testDeletePass;7;pass;20596;8
org.ligi.passandroid;TestPassCreation;testDeletePass;8;pass;20886;8
org.ligi.passandroid;TestPassCreation;testDeletePass;9;pass;20356;8
org.ligi.passandroid;TestPassCreation;testDeletePass;10;pass;20395;8
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;1;pass;21385;8
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;2;pass;21256;8
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;3;pass;20549;8
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;4;pass;20770;8
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;5;pass;20842;8
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;6;pass;20908;8
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;7;pass;20767;8
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;8;pass;20779;8
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;9;pass;20908;8
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;10;pass;21023;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;1;pass;20352;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;2;pass;20236;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;3;pass;20430;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;4;pass;20401;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;5;pass;20024;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;6;pass;20207;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;7;pass;20214;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;8;pass;20139;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;9;pass;20223;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;10;pass;20280;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;1;pass;19050;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;2;pass;19225;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;3;pass;19129;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;4;pass;19582;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;5;pass;19415;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;6;pass;19090;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;7;pass;19456;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;8;pass;19261;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;9;pass;19123;8
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;10;pass;19705;8
org.ligi.passandroid;TestPassCreation;testEditPass;1;pass;17922;7
org.ligi.passandroid;TestPassCreation;testEditPass;2;pass;17884;7
org.ligi.passandroid;TestPassCreation;testEditPass;3;pass;18130;7
org.ligi.passandroid;TestPassCreation;testEditPass;4;pass;18111;7
org.ligi.passandroid;TestPassCreation;testEditPass;5;pass;18055;7
org.ligi.passandroid;TestPassCreation;testEditPass;6;pass;18136;7
org.ligi.passandroid;TestPassCreation;testEditPass;7;pass;18247;7
org.ligi.passandroid;TestPassCreation;testEditPass;8;pass;18178;7
org.ligi.passandroid;TestPassCreation;testEditPass;9;pass;18402;7
org.ligi.passandroid;TestPassCreation;testEditPass;10;pass;18402;7
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;1;pass;13578;4
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;2;pass;12717;4
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;3;pass;13076;4
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;4;pass;13159;4
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;5;pass;12971;4
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;6;pass;13276;4
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;7;pass;12991;4
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;8;pass;12873;4
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;9;pass;12927;4
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;10;pass;13507;4
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;1;pass;13063;4
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;2;pass;13090;4
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;3;pass;13244;4
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;4;pass;12892;4
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;5;pass;13121;4
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;6;pass;13383;4
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;7;pass;13413;4
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;8;pass;13254;4
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;9;pass;13510;4
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;10;pass;13983;4
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;1;pass;13121;4
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;2;pass;13225;4
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;3;pass;13438;4
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;4;pass;13190;4
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;5;pass;13095;4
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;6;pass;13619;4
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;7;pass;13338;4
