package;test_class;test_case;suite;result
io.github.project_travel_mate;CityInfoTest;testMonumentsContent;original;fail
io.github.project_travel_mate;CityInfoTest;testShoppingContent;original;fail
io.github.project_travel_mate;CityInfoTest;testNotifications;original;fail
io.github.project_travel_mate;HomeMenuTest;testHomeMenu;original;fail
io.github.project_travel_mate;HomeMenuTest;testPopularCities;original;fail
io.github.project_travel_mate;HomeMenuTest;testChecklist;original;fail
io.github.project_travel_mate;HomeMenuTest;testCompass;original;fail
io.github.project_travel_mate;RestaurantTest;testRestaurantsContent;original;fail
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortAlphabetically;original;fail
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortVotes;original;fail
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortRating;original;fail
io.github.project_travel_mate;OtherMenusTest;testLeftMenuContent;original;fail
io.github.project_travel_mate;OtherMenusTest;testAboutScreen;original;fail
io.github.project_travel_mate;OtherMenusTest;testSettingsMenu;original;fail
io.github.project_travel_mate;OtherMenusTest;testUserMenu;original;pass
io.github.project_travel_mate;LoggingTest;testLogoutFromMenu;original;fail
io.github.project_travel_mate;LoggingTest;testWrongLogin;original;fail
io.github.project_travel_mate;LoggingTest;testRightLogin;original;fail
io.github.project_travel_mate;LoggingTest;testLogoutFromProfile;original;fail
io.github.project_travel_mate;TripsTest;testEmptyTripsAtBeginning;original;fail
io.github.project_travel_mate;TripsTest;testAddAndRemoveTrip;original;fail
io.github.project_travel_mate;TripsTest;testTripInfoFields;original;fail
io.github.project_travel_mate;TripsTest;testAddTwoTrips;original;fail
io.github.project_travel_mate;AdvancedFeaturesTest;testSetUnsetFavouriteCity;original;fail
io.github.project_travel_mate;AdvancedFeaturesTest;testFavouriteCityMenu;original;fail
io.github.project_travel_mate;AdvancedFeaturesTest;testRightSearch;original;pass
io.github.project_travel_mate;CityInfoTest;testAllButtonsDisplayed;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testKnowMoreContent;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testFunFactsContent;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testHangoutContent;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testMonumentsContent;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testShoppingContent;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testNotifications;retranslated;pass
io.github.project_travel_mate;HomeMenuTest;testHomeMenu;retranslated;pass
io.github.project_travel_mate;HomeMenuTest;testPopularCities;retranslated;pass
io.github.project_travel_mate;HomeMenuTest;testChecklist;retranslated;pass
io.github.project_travel_mate;HomeMenuTest;testCompass;retranslated;pass
io.github.project_travel_mate;RestaurantTest;testRestaurantsContent;retranslated;pass
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortAlphabetically;retranslated;pass
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortVotes;retranslated;pass
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortRating;retranslated;pass
io.github.project_travel_mate;OtherMenusTest;testLeftMenuContent;retranslated;pass
io.github.project_travel_mate;OtherMenusTest;testAboutScreen;retranslated;pass
io.github.project_travel_mate;OtherMenusTest;testSettingsMenu;retranslated;pass
io.github.project_travel_mate;OtherMenusTest;testUserMenu;retranslated;pass
