Package;Class;Case;Execution;Result;TotalTime;NumInteractions;NumFallbacks
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;9;pass;15309;8;0
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;10;pass;15314;8;0
org.ligi.passandroid;TestPassCreation;testEditPass;1;pass;10257;7;0
org.ligi.passandroid;TestPassCreation;testEditPass;2;pass;10195;7;0
org.ligi.passandroid;TestPassCreation;testEditPass;3;pass;10182;7;0
org.ligi.passandroid;TestPassCreation;testEditPass;4;pass;10221;7;0
org.ligi.passandroid;TestPassCreation;testEditPass;5;pass;10182;7;0
org.ligi.passandroid;TestPassCreation;testEditPass;6;pass;10215;7;0
org.ligi.passandroid;TestPassCreation;testEditPass;7;pass;10190;7;0
org.ligi.passandroid;TestPassCreation;testEditPass;8;pass;10204;7;0
org.ligi.passandroid;TestPassCreation;testEditPass;9;pass;10195;7;0
org.ligi.passandroid;TestPassCreation;testEditPass;10;pass;10204;7;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;1;pass;12328;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;2;pass;12362;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;3;pass;12356;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;4;pass;12373;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;5;pass;12413;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;6;pass;12418;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;7;pass;12346;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;8;pass;12417;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;9;pass;12388;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;10;pass;12336;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;1;pass;12894;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;2;pass;12797;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;3;pass;12932;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;4;pass;12893;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;5;pass;12913;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;6;pass;12904;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;7;pass;12828;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;8;pass;12869;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;9;pass;12866;8;0
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;10;pass;12889;8;0
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;1;pass;6043;4;0
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;2;pass;6045;4;0
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;3;pass;6014;4;0
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;4;pass;6031;4;0
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;5;pass;6009;4;0
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;6;pass;5998;4;0
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;7;pass;6096;4;0
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;8;pass;6063;4;0
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;9;pass;6013;4;0
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;10;pass;6037;4;0
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;1;pass;6071;4;0
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;2;pass;6054;4;0
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;3;pass;6079;4;0
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;4;pass;6059;4;0
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;5;pass;6087;4;0
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;6;pass;6117;4;0
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;7;pass;6068;4;0
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;8;pass;6100;4;0
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;9;pass;6093;4;0
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;10;pass;6084;4;0
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;1;pass;6267;4;0
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;2;pass;6233;4;0
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;3;pass;6235;4;0
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;4;pass;6262;4;0
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;5;pass;6276;4;0
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;6;pass;6262;4;0
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;7;pass;6251;4;0
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;8;pass;6274;4;0
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;9;pass;6248;4;0
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;10;pass;6215;4;0
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;1;pass;10869;7;0
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;2;pass;10882;7;0
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;3;pass;10849;7;0
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;4;pass;10843;7;0
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;5;pass;11650;7;0
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;6;pass;10980;7;0
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;7;pass;10814;7;0
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;8;pass;11294;7;0
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;9;pass;10874;7;0
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;10;pass;11334;7;0
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;1;pass;18202;5;2
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;2;pass;18320;5;2
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;3;pass;18179;5;2
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;4;pass;18200;5;2
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;5;pass;18205;5;2
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;6;pass;18262;5;2
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;7;pass;18193;5;2
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;8;pass;18171;5;2
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;9;pass;18249;5;2
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;10;pass;18261;5;2
